1,John Doe,55,9
2,John Doe,13,0
3,John Doe,23,8
4,John Doe,78,7
5,John Doe,16,9
6,John Doe,80,5
7,John Doe,10,6
8,John Doe,69,1
9,John Doe,26,0
10,John Doe,84,1
11,John Doe,27,7
12,John Doe,57,8
13,John Doe,27,1
14,John Doe,83,4
15,John Doe,6,1
16,John Doe,18,4
17,John Doe,12,0
18,John Doe,33,3
19,John Doe,41,2
20,John Doe,35,8
21,John Doe,71,8
22,John Doe,57,7
23,John Doe,36,7
24,John Doe,3,4
25,John Doe,62,4
26,John Doe,51,3
27,John Doe,23,3
28,John Doe,35,6
29,John Doe,19,6
30,John Doe,21,2
31,John Doe,52,8
32,John Doe,46,3
33,John Doe,6,7
34,John Doe,37,3
35,John Doe,19,4
36,John Doe,55,2
37,John Doe,82,1
38,John Doe,61,6
39,John Doe,18,1
40,John Doe,23,4
41,John Doe,78,2
42,John Doe,47,9
43,John Doe,80,4
44,John Doe,35,0
45,John Doe,19,6
46,John Doe,6,0
47,John Doe,6,6
48,John Doe,56,7
49,John Doe,15,1
50,John Doe,18,0
51,John Doe,43,4
52,John Doe,54,6
53,John Doe,83,0
54,John Doe,43,2
55,John Doe,23,4
56,John Doe,13,9
57,John Doe,26,2
58,John Doe,42,9
59,John Doe,3,7
60,John Doe,40,5
61,John Doe,4,3
62,John Doe,65,8
63,John Doe,58,0
64,John Doe,52,0
65,John Doe,41,4
66,John Doe,29,0
67,John Doe,54,7
68,John Doe,57,8
69,John Doe,49,3
70,John Doe,38,9
71,John Doe,51,0
72,John Doe,88,8
73,John Doe,1,6
74,John Doe,60,5
75,John Doe,88,2
76,John Doe,42,4
77,John Doe,47,9
78,John Doe,37,5
79,John Doe,1,6
80,John Doe,19,6
81,John Doe,71,7
82,John Doe,38,6
83,John Doe,62,8
84,John Doe,12,2
85,John Doe,42,1
86,John Doe,88,2
87,John Doe,57,5
88,John Doe,8,4
89,John Doe,83,6
90,John Doe,10,2
91,John Doe,47,0
92,John Doe,3,3
93,John Doe,63,5
94,John Doe,8,0
95,John Doe,69,5
96,John Doe,60,0
97,John Doe,56,7
98,John Doe,53,5
99,John Doe,58,2
100,John Doe,29,4
